Composition_ID,Zr_mp,T_eutectic,T_liquidus
1,2,1997.735326,2577.910158
2,4,1997.735326,2547.421116
3,6,1997.735326,2514.205989
4,8,1997.735326,2477.111234
5,10,1997.735326,2435.159719
6,12,1997.735326,2387.546278
7,14,1997.735326,2333.628156
8,16,1997.735326,2272.91326
9,18,1997.735326,2205.050143
10,20,1997.735326,2129.824827
11,22,1997.735326,2047.170627
12,24,1997.735326,2013.07707
13,26,1997.735326,2044.204164
14,28,1997.735326,2069.250533
15,30,1997.735326,2091.542106
16,32,1997.735326,2144.03475
17,34,2085.542879,2193.620504
18,36,2085.542879,2239.734861
19,38,2085.542879,2281.767581
20,40,2085.542879,2319.061784
21,42,2085.542879,2350.921023
22,44,2085.542879,2376.627939
23,46,2146.259088,2222.8
24,48,2289.394262,2364
25,50,2225.105592,2304
26,52,1512.030455,1590
27,54,1512.030455,1590
28,56,1512.030455,1590
29,58,1512.030455,1590
30,60,1512.030455,1590
31,62,1512.030455,1590
32,64,1512.030455,1590
33,66,1512.030455,1590
34,68,1512.030455,1590
35,70,1512.030455,1590
36,72,1512.030455,1590
37,74,1512.030455,1590
38,76,1512.030455,1590
39,78,1512.030455,1590
40,80,1512.030455,1525.128189
41,82,1512.030455,1601.318499
42,84,1512.030455,1675.513413
43,86,1512.030455,1747.295031
44,88,1512.030455,1816.176444
45,90,1553.069386,1881.577014
46,92,1649.527,1942.795923
47,94,1749.304347,1998.993682
48,96,1854.199012,2049.207103
49,98,1969.514452,2092.441281
